<<<<<<< HEAD
Doctor Identifier,ChargePerPatient,DrugChargePerPatient,PercentChargePaid,PercentDrugChargePaid,PercentAllowedPaid,PercentChargeAllowed,AveragePatientRisk
450181093,796.212121212,0.0,0.651031588963,0.0,0.7465290643,1.14668639273,1.28
375128823,783.924170616,137.052132701,0.376390319694,0.0893326199458,0.739263936993,1.96408860247,1.52
429379427,841.11431962,50.7029272152,0.327816333911,0.0320971699218,0.756085319253,2.30642967125,1.11
993555030,69.880952381,0.0,0.562967632027,0.0,0.563382250651,1.0007364875,1.0
786413532,385.823529412,0.0,0.298186461351,0.0,0.979997244109,3.28652494707,1.57
252733945,477.229084381,70.1321364452,0.606398735068,0.129677190966,0.791318653245,1.30494773073,1.21
456649481,982.476635514,0.0,0.474000760999,0.0,0.763389328737,1.61052342433,1.05
933921624,720.633333333,0.0,0.196325917017,0.0,0.784021324112,3.99346828999,2.83
983640444,842.496567506,0.0,0.219407720869,0.0,0.761243217402,3.46953705361,2.32
404849132,185.943396226,0.0,0.387130390665,0.0,0.673615574216,1.74002245874,1.26
690987556,495.718309859,75.2112676056,0.345690078418,0.10997795204,0.790610642985,2.28705043142,1.37
658799001,1456.31578947,0.0,0.306454644019,0.0,0.689654050607,2.25042780088,1.04
714110083,533.048140044,0.0,0.142640320522,0.0,0.726392197656,5.09247451913,1.71
525325614,546.093333333,0.0,0.735100990063,0.0,0.739982549628,1.0066406652,1.23
822648896,685.226635514,0.0,0.302510425298,0.0,0.777863808306,2.57136198708,2.81
330716557,463.064634146,0.0,0.173675776178,0.0,0.781900218041,4.50206836697,1.55
421347269,765.475770925,0.0,0.173872631112,0.0,0.762229168559,4.38383639611,1.7
390780559,705.213675214,0.0,0.494995030905,0.0,0.709037344125,1.43241305439,1.31
386096137,618.323404255,46.9617021277,0.20552571814,0.027471267532,0.749754781663,3.64798521786,1.53
125849228,1361.6875,0.0,0.259674002846,0.0,0.748009253735,2.88057042884,0.94
626120804,673.994318182,76.6590909091,0.372144693693,0.0748185427784,0.780667079416,2.09775147314,0.9
149559850,523.742857143,0.0,0.472201734766,0.0,0.719474852255,1.52365990907,0.83
471659865,717.134453782,93.0392156863,0.345103997,0.0970287910568,0.766319677182,2.22054709259,1.03
