Doctor Identifier,Risk
450181093,66.67672729492188
375128823,565.5693969726562
429379427,23.737945556640625
993555030,2.271561622619629
786413532,26.441650390625
252733945,-2.2126903533935547
456649481,6.623476028442383
933921624,5.382135391235352
983640444,2.1469154357910156
404849132,5.171611785888672
690987556,14.41048526763916
658799001,34.89336395263672
714110083,14.06901741027832
525325614,21.55489158630371
822648896,12.777462005615234
330716557,48.2077751159668
421347269,-1.204228401184082
390780559,26.514535903930664
386096137,2.0029850006103516
125849228,1.7020950317382812
626120804,5.8113579750061035
149559850,15.19076919555664
471659865,12.068074226379395
944411606,27.825653076171875
550942346,15.567468643188477
417435316,6.720400810241699
279650060,6.457258224487305
187513628,-0.21105241775512695
258057315,-0.16568470001220703
933186891,19.76093292236328
792931829,-2.054628372192383
707233569,69.12203216552734
307736204,6.341823577880859
700956040,0.4406719207763672
555574243,5.695529937744141
263999175,19.184614181518555
610798203,47.6904296875
486325975,8.193315505981445
263890366,52.96924591064453
183311807,22.898012161254883
231549802,13.562274932861328
493910894,15.976142883300781
815329225,168.005859375
966773639,34.254783630371094
817056695,2241.557861328125
234264248,6.355765342712402
678464429,156.37100219726562
169907556,19.895694732666016
350315806,45.44685745239258
873826703,6.87904167175293
646413900,1.9142885208129883
925723463,5.369174957275391
822143189,6.104082107543945
615905226,4.97056770324707
461558088,10.099284172058105
764598052,6.624744892120361
937024260,29.231250762939453
957326897,16.51895523071289
996252898,10.158745765686035
178241407,25.21247673034668
680899538,34.72182846069336
531866944,-2.4570045471191406
290327095,6.000126838684082
804271074,6.440524101257324
828369853,-0.9358978271484375
676341645,17.837894439697266
546371934,5.061955451965332
626205145,3.393368721008301
619347014,25.395889282226562
962592713,4.227592468261719
371330670,26.769834518432617
154482209,-0.29773664474487305
402843677,46.153045654296875
757206658,26.494136810302734
679102189,6.087959289550781
312194537,37.52769470214844
270575625,19.226333618164062
797126364,-0.4179258346557617
730184004,9.737290382385254
935145410,18.154380798339844
998477122,17.272663116455078
771304319,-2.7531776428222656
192532922,-0.5241327285766602
248470388,4.596269607543945
117593331,-0.6120500564575195
860885947,9.56889820098877
131674583,9.912939071655273
144416200,4.802009582519531
149215832,13.045902252197266
161021979,55.72167205810547
921486980,10.890506744384766
329248355,-3.608792304992676
634472092,49.526058197021484
513578600,-0.070770263671875
448279431,11.139246940612793
149023149,14.705944061279297
839794973,11.554680824279785
373555863,-2.895449161529541
325324537,8.43838119506836
545315111,175.1701202392578
303561580,4.068816184997559
249349090,21.035018920898438
716948190,2.299917221069336
516980256,6.932737350463867
522448441,8.565670013427734
934190481,5.333911895751953
955586465,9.068045616149902
651731923,-2.453279495239258
740516196,126.66708374023438
482243540,17.90977668762207
566172134,-2.49530029296875
644785270,-2.7822961807250977
956647921,28.494958877563477
436007458,11.47575569152832
159378927,6.423486709594727
370028610,23.246103286743164
411676454,31.558340072631836
822432009,7.749382019042969
