Doctor Identifier,ChargePerPatient,DrugChargePerPatient,PercentChargePaid,PercentDrugChargePaid,PercentAllowedPaid,AveragePatientRisk
450181093,796.2121212121212,0.0,0.6510315889628925,0.0,0.7465290642995394,1.28
375128823,783.9241706161138,137.0521327014218,0.3763903196943316,0.08933261994583092,0.7392639369926152,1.52
429379427,841.1143196202531,50.702927215189874,0.32781633391132264,0.032097169921795086,0.7560853192529932,1.11
993555030,69.88095238095238,0.0,0.5629676320272572,0.0,0.5633822506512458,1.0
786413532,385.8235294117647,0.0,0.29818646135081567,0.0,0.9799972441092837,1.57
252733945,477.22908438061035,70.13213644524237,0.6063987350677121,0.1296771909655003,0.7913186532445121,1.21
456649481,982.4766355140187,0.0,0.47400076099881094,0.0,0.7633893287369008,1.05
933921624,720.6333333333333,0.0,0.19632591701743837,0.0,0.7840213241120956,2.83
983640444,842.4965675057208,0.0,0.2194077208688354,0.0,0.7612432174018998,2.32
404849132,185.9433962264151,0.0,0.3871303906646372,0.0,0.6736155742162395,1.26
690987556,495.71830985915494,75.21126760563381,0.34569007841800203,0.10997795204000453,0.7906106429850336,1.37
658799001,1456.3157894736842,0.0,0.3064546440187929,0.0,0.6896540506073796,1.04
714110083,533.0481400437636,0.0,0.14264032052150424,0.0,0.7263921976558182,1.71
525325614,546.0933333333334,0.0,0.7351009900627488,0.0,0.7399825496283347,1.23
822648896,685.2266355140187,0.0,0.3025104252975856,0.0,0.7778638083060191,2.81
330716557,463.0646341463415,0.0,0.17367577617832414,0.0,0.7819002180410922,1.55
421347269,765.4757709251102,0.0,0.1738726311124923,0.0,0.7622291685588285,1.7
390780559,705.2136752136752,0.0,0.4949950309053448,0.0,0.7090373441246066,1.31
386096137,618.3234042553191,46.96170212765958,0.20552571813965012,0.02747126753196702,0.7497547816634176,1.53
125849228,1361.6875,0.0,0.25967400284573366,0.0,0.748009253734994,0.94
626120804,673.9943181818181,76.6590909090909,0.37214469369346587,0.07481854277838194,0.7806670794156224,0.9
149559850,523.7428571428571,0.0,0.472201734766243,0.0,0.7194748522554423,0.83
471659865,717.1344537815127,93.03921568627452,0.3451039970001992,0.09702879105684388,0.7663196771816468,1.03
944411606,2446.3778947368423,0.0,0.3212924026455438,0.0,0.7779763721854842,1.48
550942346,3714.285714285714,0.0,0.34702564102564104,0.0,0.7595289057598263,1.49
417435316,404.67321288295364,25.695993715632365,0.21345517510467846,0.014183158658951098,0.7023529456851377,1.33
279650060,265.5448611111111,0.0,0.22068174293630027,0.0,0.7747645347596136,2.2
187513628,444.22508398656214,0.0,0.19923595828512222,0.0,0.7265272140529229,2.08
258057315,847.7391304347826,0.0,0.3041933788080829,0.0,0.7674420560569297,3.06
933186891,1046.5396825396826,0.0,0.32945231450585455,0.0,0.7516715096411355,1.61
792931829,1930.2116788321168,0.0,0.2535885780841707,0.0,0.7622144198375064,1.55
707233569,926.4229333333333,0.0,0.12069030530620141,0.0,0.7903565561525752,1.41
307736204,1459.880412371134,0.0,0.1755090517229204,0.0,0.7653786924546059,1.73
700956040,262.7626886145405,0.0,0.3271544316485169,0.0,0.7187478083107195,1.68
555574243,569.6103045685279,0.0,0.14558185340534266,0.0,0.799782334319993,1.07
263999175,546.8139534883721,0.0,0.2686654191298431,0.0,0.7640410979614299,1.25
610798203,942.7722690317811,0.0,0.2556368486555604,0.0,0.7134908337991724,1.09
486325975,220.9591836734694,0.0,0.23160062805948092,0.0,0.6744996140013934,1.24
263890366,449.30555555555554,0.0,0.38857656877897995,0.0,0.6810543664471695,1.46
183311807,963.2735849056604,66.25,0.2665970991215098,0.053965252137463636,0.8115605830049896,1.86
231549802,210.73819742489272,2.3605150214592276,0.32448372775039713,0.006887906806240071,0.7242603206004712,1.08
493910894,403.0934782608696,0.0,0.25715849705807803,0.0,0.7604215472360442,1.13
815329225,3193.9314516129034,1295.268817204301,0.391371211786465,0.23627658298562673,0.7682655871847345,1.25
966773639,663.65,0.0,0.5195282151736608,0.0,0.7010048006089737,1.29
817056695,479.0305438066465,0.0,0.23059412984848368,0.0,0.7444476116789511,1.51
234264248,470.23960880195597,0.0,0.22204572397154862,0.0,0.7743920959278674,2.22
678464429,1300.581853211009,0.0,0.2646559843906703,0.0,0.7647221164256522,1.31
169907556,346.38392857142856,27.5,0.2869475447866993,0.043127722644670706,0.7095156331263193,1.17
350315806,117.8840579710145,0.0,0.3736894516842882,0.0,0.6780062144082372,1.52
873826703,1477.0077777777778,0.0,0.29880892826111644,0.0,0.7777009948850453,2.31
646413900,946.1290322580645,0.0,0.5023856120013638,0.0,0.7660029174191549,1.34
925723463,113.92156862745098,0.0,0.2790258175559381,0.0,0.7545239602338311,1.46
822143189,1126.472,0.0,0.2754143319437441,0.0,0.767236828438735,2.31
615905226,573.4,0.0,0.3692080430622461,0.0,0.800262931841234,1.46
461558088,366.2142857142857,0.0,0.3540803588843378,0.0,0.6006981900003309,0.64
764598052,127.32197802197801,0.0,0.37073008639513916,0.0,0.6710970151002649,1.21
937024260,557.5555555555555,0.0,0.3299242726185731,0.0,0.7250619269349757,0.73
957326897,541.6470588235294,0.0,0.3156896177237185,0.0,0.7840110688865574,3.36
996252898,821.5384615384615,0.0,0.45428417602996257,0.0,0.7349963490712097,0.75
178241407,625.6984126984127,0.0,0.21463362482921577,0.0,0.7725664018112319,2.3
680899538,1913.1919475655432,0.0,0.14582998293437688,0.0,0.77862033233295,1.53
531866944,3124.866666666667,0.0,0.21416373320817245,0.0,0.6290508786621017,1.39
290327095,703.6836734693877,0.0,0.26205608967387367,0.0,0.7461562218462192,2.76
804271074,1139.4837192790824,3.2222829055161113,0.3791151232272356,0.0014705750617108788,0.8078714108708467,1.15
828369853,782.1620895522389,107.00537313432835,0.3356815570158951,0.0664857228890603,0.8006578182308909,1.28
676341645,128.4090909090909,0.0,0.1656008849557522,0.0,0.7837240177745017,2.34
546371934,4932.244655581948,5.154394299287411,0.09637950613419377,0.00013275141766695963,0.7709965575343506,1.42
626205145,1717.3221320973348,167.20741599073,0.22681101636990408,0.025527846920041102,0.747731841053733,1.21
619347014,1384.738918918919,0.0,0.3235190788233278,0.0,0.784012596714978,2.36
962592713,445.93333333333334,0.0,0.2482837494393781,0.0,0.7839848562810086,0.84
371330670,599.7142857142857,9.231203007518797,0.29271065795742335,0.010462250194328126,0.7131421276386478,1.6
154482209,403.3333333333333,0.0,0.6861946740128558,0.0,0.7333765809336967,1.1
402843677,164.07322033898305,0.0,0.5463484161680606,0.0,0.6755837302788646,0.91
757206658,1578.3333333333333,0.0,0.5359943681802183,0.0,0.7503823956099408,1.27
679102189,482.6382428940569,0.0,0.23705350115911145,0.0,0.7594261736246716,2.13
312194537,496.87592008412196,12.8801261829653,0.3650419339342135,0.01424867045197226,0.7527372398149368,1.22
270575625,992.1550122249389,0.0,0.10647066448426457,0.0,0.7799563743129441,1.51
797126364,782.0510204081633,0.0,0.22388743187936833,0.0,0.7817604560364371,1.99
730184004,594.0077519379845,0.0,0.1345162932125752,0.0,0.7411819270221004,2.05
935145410,463.5214564369311,0.0,0.30652036201633903,0.0,0.7408721371267442,1.88
998477122,554.474074074074,0.0,0.27434973414914365,0.0,0.7306433723301777,1.01
771304319,954.2336182336182,158.94871794871796,0.33173128597702245,0.08699530656603052,0.8012860963218601,0.99
192532922,429.78047337278105,0.0,0.15424983719499016,0.0,0.7609999330264323,1.94
248470388,382.4275618374558,59.44169611307421,0.7012405407153484,0.12467766823435926,0.851271200414031,1.21
117593331,91.72666666666667,10.633333333333333,0.2777760011628752,0.10030888872737845,0.9185585395046122,1.52
860885947,292.7549019607843,0.0,0.5670670774588928,0.0,0.7664688466251169,1.93
131674583,194.45714285714286,0.0,0.4334507787246547,0.0,0.6328924209931941,1.34
144416200,341.125,0.0,0.39651276413826797,0.0,0.6774480997019958,0.92
149215832,1168.7942857142857,0.0,0.45314952160712624,0.0,0.6800688237052908,1.05
161021979,629.6466666666666,0.0,0.35912109437038764,0.0,0.749322155255774,2.23
921486980,1135.4072538860105,0.0,0.14970191700405597,0.0,0.7874422945455385,1.35
329248355,2363.9471830985917,0.0,0.2867392654622476,0.0,0.7830983218057131,2.12
634472092,1867.5,0.0,0.37380187416331995,0.0,0.7321415461419866,1.14
513578600,137.53466666666665,0.0,0.31357427460712933,0.0,0.7839717876316395,0.78
448279431,1515.4177777777777,0.0,0.09149531189052376,0.0,0.7926790473439069,1.06
149023149,2693.3333333333335,0.0,0.37409282178217823,0.0,0.7246245828698554,1.02
839794973,364.1460506706408,0.0,0.22709861587447105,0.0,0.7677516982905163,1.31
373555863,362.3586776859504,0.0,0.21306727729704825,0.0,0.6787111113242219,1.07
325324537,4039.705882352941,0.0,0.34106661812886785,0.0,0.7674753810877211,1.68
545315111,892.340350877193,0.0,0.37585375731862203,0.0,0.7561908348272136,2.2
303561580,451.36545012165453,0.0,0.15992743295283518,0.0,0.8058636604023787,1.25
249349090,3249.5522388059703,0.0,0.19933942678669853,0.0,0.7705215308388423,1.49
716948190,503.6842105263158,0.0,0.22370637408568442,0.0,0.7839975683979624,1.23
516980256,961.0982658959538,124.46242774566474,0.4628214951584772,0.10564876405845915,0.7893464483972858,1.26
522448441,93.18490304709141,0.0,0.3179497469511515,0.0,0.7507437158576382,1.6
934190481,1496.1471428571429,0.0,0.5813627956761319,0.0,0.7839434403676222,1.18
955586465,451.745,0.0,0.38885630295301016,0.0,0.7793041787797875,2.51
651731923,575.5495782567948,33.85660731021556,0.3656715377698574,0.047819858090893605,0.8025204717480978,1.1
740516196,587.8962765957447,0.0,0.22818506304032138,0.0,0.7749020619982119,3.06
482243540,695.5137777777778,0.0,0.16346419529351922,0.0,0.8022151020447843,1.49
566172134,2282.6304545454545,0.0,0.24772217539294278,0.0,0.7839974791239955,0.94
644785270,544.2137049941928,0.0,0.5857763654368202,0.0,0.7302479435940814,1.48
956647921,1691.6176470588234,0.0,0.37476258367382426,0.0,0.7313109907327675,0.94
436007458,163.52645620275678,0.0,0.22212085781641294,0.0,0.7609377286538437,1.92
159378927,950.652027027027,0.0,0.4164417736048871,0.0,0.7245009649807449,1.15
370028610,337.43951612903226,0.0,0.35243795184322163,0.0,0.7758357911040449,2.19
411676454,360.3670520231214,0.9335260115606936,0.42839285571069957,0.00043019721382341384,0.7317623224810892,1.43
822432009,2271.1111111111113,0.0,0.34988136007827786,0.0,0.7642131033148858,1.54
843817425,1268.6335746606335,63.92307692307692,0.3049660585397721,0.024198480268898,0.7451452071698982,1.14
153798843,292.5057034220532,0.0,0.19780251920602113,0.0,0.6733441687313071,1.08
275007577,490.8095238095238,13.100250626566416,0.4535426102852941,0.013276363023596634,0.8245690324642234,1.18
258535892,423.3333333333333,0.0,0.2846627296587927,0.0,0.7124913366377287,1.55
169708518,823.8588235294118,0.0,0.1603144456503113,0.0,0.7839981004989683,2.4
373388397,556.5327510917031,51.004366812227076,0.33448723380882883,0.051880875037270686,0.7721406663740811,1.22
917621699,696.2343989071038,76.02185792349727,0.4092702851929055,0.09212807115121513,0.8323023579256265,1.02
175943470,434.2682926829268,0.0,0.45776944678461107,0.0,0.7787783325976078,1.96
752372627,347.91071264367815,2.5540229885057473,0.256325179481907,0.0009203048265257118,0.6393253690176165,0.9
890252300,232.66666666666666,0.0,0.5266131805157593,0.0,0.7397532653102298,0.64
638094793,471.1173490813648,38.660656167979,0.36277685968093615,0.05255936200369357,0.7837235990662749,1.23
335303763,3131.7876439790575,0.0,0.18111013457947778,0.0,0.7785881364874367,3.27
421473902,719.832512315271,0.0,0.2676299221220043,0.0,0.7520601145175791,1.34
675416759,270.0,0.0,0.20443086419753087,0.0,0.7761523534540137,1.46
269768411,1847.9751773049645,22.23404255319149,0.19647793540562894,0.0020748029758466714,0.7567311631381615,1.32
811644106,237.43103448275863,0.0,0.5050403020840898,0.0,0.7729197853355605,3.37
274373161,260.2857142857143,0.0,0.248855864223592,0.0,0.7350359138068635,1.24
886650232,198.2572463768116,0.0,0.27926317053622013,0.0,0.7451771818515827,1.78
873104642,212.52747252747253,0.0,0.24493640124095137,0.0,0.6306935662751019,1.51
180053938,64.8559393939394,46.84678787878788,0.9783763174887373,0.7062057352285672,0.979997248100581,0.82
410868341,977.4217218543046,0.0,0.39101429033323787,0.0,0.7688866138670031,1.78
687492990,1333.5365853658536,0.0,0.4673377229080933,0.0,0.734300304075054,1.28
206414383,2420.757575757576,0.0,0.28166806450939896,0.0,0.7783900441770445,1.74
431810375,1084.4,0.0,0.5049579490962744,0.0,0.7476927849725298,1.07
618466281,1520.8035714285713,0.0,0.4771313332941936,0.0,0.7661670933217992,2.41
838468224,880.7477064220184,0.0,0.5773531663567757,0.0,0.7672365237495206,0.95
409478359,128.80769230769232,0.0,0.6634239076341196,0.0,0.699978576649388,1.16
337711608,242.84552845528455,0.0,0.4707773685972548,0.0,0.66807260654888,1.27
270140664,976.5491803278688,0.0,0.22168979091649252,0.0,0.768129876444975,1.84
684926360,111.07127192982456,0.0,0.26072410831515247,0.0,0.7835662323174785,1.7
650948768,387.43854748603354,0.0,0.22858355623166043,0.0,0.7642382198353421,2.16
671708967,766.8936170212766,67.01063829787235,0.48726406614138273,0.07654688713794251,0.7753494193116943,1.04
226341734,32644.674666666666,0.0,0.2997254202482275,0.0,0.7840172489947884,3.9
293281688,755.6179775280899,0.0,0.4263385873605948,0.0,0.76447953967945,0.94
840255725,3888.0588235294117,0.0,0.19726039003283052,0.0,0.7780578510423977,1.24
626612547,150.0,0.0,0.41930769230769227,0.0,0.7237505974826066,1.77
694042912,506.6181818181818,0.0,0.18410842157707183,0.0,0.7973018252197474,2.71
684718880,12.384615384615385,0.0,0.7014906832298137,0.0,0.9802117687901406,1.08
936998127,457.7391304347826,0.0,0.2191141310247503,0.0,0.7234406252261055,1.32
208092216,242.83149056603773,0.9767735849056605,0.2859733308345122,0.0006885355470899184,0.6788061594824358,1.21
435895234,314.8854961832061,0.0,0.3458962424242424,0.0,0.6966724005677587,2.02
442148290,358.0769230769231,0.0,0.38222019334049406,0.0,0.8100208055432886,0.65
948852338,306.31770270270266,0.0,0.15576479286873593,0.0,0.5642184388912505,1.64
160830556,231.61764705882354,0.0,0.44865841269841267,0.0,0.7280481685900653,1.05
830092171,650.8974358974359,0.0,0.30871705731731336,0.0,0.7319550148529255,0.66
933854981,2453.3333333333335,0.0,0.4165366847826087,0.0,0.7690427259198311,0.76
613860475,444.24,0.0,0.2834134701962903,0.0,0.8000971019392427,0.97
830284935,1834.4444444444443,0.0,0.532397334948516,0.0,0.7371527985981325,1.06
270865221,427.20454545454544,0.0,0.24209554716178114,0.0,0.762004832576185,2.8
246321787,213.17391304347825,0.0,0.21873342851315522,0.0,0.784052111739032,1.43
132706654,1352.1052631578948,0.0,0.5934628260023356,0.0,0.7590881352326008,1.15
630121832,535.3409090909091,0.0,0.5257588622373169,0.0,0.7803019324432459,1.35
296310606,405.9618320610687,0.0,0.35351911396927477,0.0,0.7535944094402025,1.88
706376028,1155.7051282051282,0.0,0.2757617172333463,0.0,0.7638853379484632,2.44
903207956,565.3333333333334,0.0,0.5265778301886792,0.0,0.7724475074470405,0.99
516508968,138.63636363636363,0.0,0.3958295081967213,0.0,0.7840091435696287,1.26
361451325,369.46338797814207,13.72568306010929,0.5162079696147713,0.019734070088357356,0.7033912682363181,1.31
337971234,1367.9816513761468,0.0,0.40844866206156527,0.0,0.7729702603872378,1.09
341822033,795.375,209.95833333333334,0.43153355335533555,0.14966168997852164,0.8387084884787269,0.95
943800645,1465.338125,0.0,0.11470509579486987,0.0,0.7890783408718508,1.55
904093325,150.2273838630807,0.0,0.6608583565255604,0.0,0.6798174100046125,1.2
850704623,357.7897435897436,0.0,0.37895161174733766,0.0,0.7835177830531087,2.39
505126730,5013.416322580645,3.6870967741935483,0.10043067921246104,0.00022564614461019196,0.7759661903295335,0.97
